001,UNFIT FOR DUTY,Operation/Personnel Violations,ON,DEPT,
002,ABSENCE WITHOUT PERMISSION,Operation/Personnel Violations,ON,DEPT,
003,MEDICAL ROLL VIOLATION,Operation/Personnel Violations,ON,DEPT,
003A,MEDICAL ROLL - FAIL TO NOTIFY SPVSR,Operation/Personnel Violations,ON,DEPT,
003B,MEDICAL ROLL - FAIL TO RPT IN PERSON TO MSS 2ND DAY FOR EVAL,Operation/Personnel Violations,ON,DEPT,
003C,MEDICAL ROLL - ABSENT FROM RESIDENCE,Operation/Personnel Violations,ON,DEPT,
003D,MEDICAL ROLL - FAIL TO RPT TO MSS OR OTHER MEDICAL SERVICE,Operation/Personnel Violations,ON,DEPT,
003E,MEDICAL ROLL - OTHER AND SPECIFY,Operation/Personnel Violations,ON,DEPT,
004,TARDINESS,Operation/Personnel Violations,ON,DEPT,
005,COURT APPEARANCE VIOLATION,Operation/Personnel Violations,ON,DEPT,
006A,UNIFORM VIOLATION - GENERAL ORDER,Operation/Personnel Violations,ON,DEPT,
006B,UNIFORM VIOLATION - OFFICIAL DUTY,Operation/Personnel Violations,ON,DEPT,
007,EQUIPMENT VIOLATION,Operation/Personnel Violations,ON,DEPT,
008,WEAPONS/AMMUNITION VIOLATION,Operation/Personnel Violations,ON,DEPT,
009,BACK IN SERVICE VIOLATION,Operation/Personnel Violations,ON,DEPT,
010,EXCESSIVE TIME VIOLATION,Operation/Personnel Violations,ON,DEPT,
011,COURTEOUS POLICE SERVICE,Operation/Personnel Violations,ON,DEPT,
012A,LOUNGING,Operation/Personnel Violations,ON,DEPT,
012B,UNNECESSARY VISITING WITH PUBLIC,Operation/Personnel Violations,ON,DEPT,
012C,UNNECESSARY VISITING WITH OFFICERS,Operation/Personnel Violations,ON,DEPT,
012D,PARKING VEHICLES,Operation/Personnel Violations,ON,DEPT,
013,TRANSPORTING PERSONS,Operation/Personnel Violations,ON,DEPT,
014,CONGREGATING,Operation/Personnel Violations,ON,DEPT,
015,ABSENT/LEAVING DUTY ASSIGNMENT,Operation/Personnel Violations,ON,DEPT,
016,FAILURE TO PERFORM ASSIGNED TASKS,Operation/Personnel Violations,ON,DEPT,
017,RADIO/TELEVISION VIOLATION,Operation/Personnel Violations,ON,DEPT,
018,COMMERCIAL PUBLICATIONS VIOLATION,Operation/Personnel Violations,ON,DEPT,
019,INATTENTION TO DUTY,Operation/Personnel Violations,ON,DEPT,
019A,REPORTS - FAIL TO SUBMIT,Operation/Personnel Violations,ON,DEPT,
019B,REPORTS - FAILURE TO REPORT INCIDENT,Operation/Personnel Violations,ON,DEPT,
01A,USE OF PROFANITY,Verbal Abuse,ON,CITIZEN,
01B,"RACIAL / ETHNIC, ETC.",Verbal Abuse,ON,CITIZEN,
01C,SEXUAL ORIENTATION,Verbal Abuse,ON,CITIZEN,
01D,RELIGIOUS AFFILIATION,Verbal Abuse,ON,CITIZEN,
01Z,MISCELLANEOUS,Verbal Abuse,ON,CITIZEN,
020,MISUSE OF EQUIPMENT/SUPPLIES,Operation/Personnel Violations,ON,DEPT,
021,RADIO CALL VIOLATION,Operation/Personnel Violations,ON,DEPT,
022,FAILURE TO PERFORM ANY DUTY,Operation/Personnel Violations,ON,DEPT,
022A,CURRENT IL LICENSE PLATES AND/OR CITY VEHICLE STICKER,Operation/Personnel Violations,ON,DEPT,
022B,INDEBTEDNESS TO THE CITY,Conduct Unbecoming (Off-duty),ON,DEPT,
022C,STATEMENT OF FINANCIAL INTEREST,Operation/Personnel Violations,ON,DEPT,
024,SMOKING VIOLATION,Operation/Personnel Violations,ON,DEPT,
025,PREVENTABLE ACCIDENT,Operation/Personnel Violations,ON,DEPT,
026,SUPERVISOR RESPONSIBILITY,Operation/Personnel Violations,ON,DEPT,
027,NON COMPLIANCE WITH MOTOR VEHICLE PURSUIT REQUIREMENTS,Operation/Personnel Violations,ON,DEPT,
028,COMPENSATORY TIME VIOLATION,Operation/Personnel Violations,ON,DEPT,
029,FAILURE TO IDENTIFY,Operation/Personnel Violations,ON,DEPT,
02A,INTOXICATED ON DUTY,Drug / Alcohol Abuse,ON,?,
02B,INTOXICATED OFF DUTY,Drug / Alcohol Abuse,OFF,?,
02C,D.U.I. - ON DUTY,Drug / Alcohol Abuse,ON,?,
02D,D.U.I. - OFF DUTY,Drug / Alcohol Abuse,OFF,?,
02E,POSSESSION / DRINKING ALCOHOL - ON DUTY,Drug / Alcohol Abuse,ON,?,
02F,IMPAIRMENT .04 OR GREATER - ON DUTY,Drug / Alcohol Abuse,ON,?,
02G,IMPAIRMENT .04 OR GREATER - OFF DUTY,Drug / Alcohol Abuse,OFF,?,
02H,RANDOM DRUG/RETURN TO DUTY 6 MOS FOLLOW-UP .021 OR GREATER,Drug / Alcohol Abuse,ON,?,
02Z,MISCELLANEOUS,Drug / Alcohol Abuse,ON,?,
030,NEGLECT OF DUTY,Lockup Procedures,ON,CITIZEN,
