crid,investigator_id
280573,
281329,
285275,
286312,
286958,
288088,
288829,
290671,
294300,
295354,
297527,
304117,
310748,
312736,
1002371,
281559,
283494,
284645,
285271,
287453,
287678,
297406,
314282,
281435,
281474,
283435,
285072,
286544,
297146,
282815,
286652,
288489,
290621,
290901,
292576,
299193,
300303,
300881,
306428,
308658,
315140,
286373,
289457,
291832,
296925,
298180,
304642,
306197,
308904,
312310,
1008706,
1009495,
288384,
290836,
291644,
313245,
1002428,
1004015,
1004511,
1007166,
302609,
305383,
308985,
310083,
310670,
310847,
311457,
312194,
1007107,
1014892,
289086,
290833,
292329,
293040,
298402,
307636,
1016858,
290954,
301853,
302930,
308029,
309240,
311427,
311935,
314018,
1017118,
1022127,
287458,
290520,
295466,
300862,
302169,
307877,
311482,
311981,
311977,
331977,
283365,
283907,
286119,
291318,
291937,
292797,
293134,
302193,
314468,
280601,
291083,
293274,
294783,
305034,
305466,
306574,
312713,
315166,
292073,
306061,
308391,
314731,
1001083,
1002556,
1010276,
1010910,
1020564,
1021958,
282675,
293115,
293770,
295788,
299408,
310437,
311986,
1017525,
1020292,
309400,
310613,
311683,
312100,
315372,
1007536,
1008264,
281274,
289959,
294395,
297532,
1000981,
1009368,
286935,
288608,
289619,
293566,
295401,
305816,
311309,
312799,
1007922,
289165,
291600,
300642,
301614,
1006830,
1022385,
294669,
299899,
302904,
305776,
306872,
1004102,
283491,
292629,
296678,
299153,
299553,
313293,
1009264,
1009863,
1022078,
284494,
284938,
285396,
288992,
294296,
297963,
298217,
306394,
311766,
314171,
314909,
285164,
311003,
311276,
311365,
311544,
1009442,
285281,
295588,
312795,
1003181,
1006386,
282112,
282699,
282738,
283961,
285727,
286995,
291146,
293191,
295586,
314335,
282890,
282922,
284158,
284579,
294016,
296197,
296280,
296374,
296698,
299366,
311242,
303693,
309400,
1000282,
1000939,
1001700,
288706,
289982,
292802,
295676,
298967,
299249,
299321,
281029,
282450,
286833,
286920,
290116,
296151,
296527,
297433,
300698,
306625,
310874,
314220,
314832,
286050,
286150,
291239,
301971,
302238,
303251,
305186,
315535,
285802,
286585,
293374,
295787,
296501,
299644,
304197,
