investigator_id,investigator_name,rank,unit,discipline_count
1,"ABBRUZZESE, WILLIAM",INVESTIGATOR 2 IPRA,113,1
2,"ADDINGTON, MARC",INVESTIGATOR I IPRA,113,0
3,"ADDUCI, MARK",,,0
4,"ADRIAN, CHERI",SERGEANT OF POLICE,016,0
5,"AGRON, EDUARDO",SERGEANT OF POLICE,017,0
6,"AGUILAR, KARINA",,,0
7,"AGUILERA, CONSUELO",,,0
8,"ALDERDEN, JACOB",,,0
9,"ALEJO, LUIS",POLICE OFFICER,121,1
10,"ALEXA, MICHELENE",SERGEANT OF POLICE,213,0
11,"ALLEN, DANIEL",,,0
12,"ALLEN, DERRICK",POLICE AGENT,121,8
13,"ALLEN, JAMES",SERGEANT OF POLICE,010,0
14,"ALLEN, JEFFREY",SERGEANT OF POLICE,015,0
15,"ALONZO, EDWARD",,,1
16,"ALVARADO, JAIME",SERGEANT OF POLICE,004,0
17,"ALVAREZ, ANTONIO",SERGEANT OF POLICE,010,0
18,"ALVAREZ, JESSE",SERGEANT OF POLICE,010,0
19,"ALVAREZ, RAUL",,,0
20,"ALVAREZ, RICHARD",SERGEANT OF POLICE,007,0
21,"ALVAREZ-PENA, SHERRY",SERGEANT OF POLICE,016,0
22,"ALVERIO, LUIS",,,1
23,"AMATI, MARK",,,0
24,"ANAELE, BENEDICT",INVESTIGATOR 3 IPRA,113,0
25,"ANDAVERDE, FEDERICO",,,0
26,"ANDERSEN, MARK",,,0
27,"ANDERSEN, TAMI",,,0
28,"ANDERSON, JOHN",,,0
29,"ANDERSON, KEVIN",,,1
30,"ANDERSON, MICHAEL",,,0
31,"ANDERSON, RORY",,,0
32,"ANDERSON, STEPHEN",SERGEANT OF POLICE,002,0
33,"ANDO, SCOTT",ADMIN. IN CHARGE IPRA,113,0
34,"ANDREWS, ANTHONY",,,0
35,"ANDREWS, JOHN",,,0
36,"ANDREWS-SMITH, MARSHA",POLICE OFFICER,121,0
37,"ANDRUZZI JR, JOSEPH",LIEUTENANT OF POLICE,001,0
38,"ANDRUZZI, JOSEPH",PO ASGN EVID. TECHNI,377,0
39,"ANTHONY, GWANA",,,0
40,"ARGUELLES, REBECCA",,,0
41,"ARPAIA, PETER",,,0
42,"ARTEAGA JR, ROBERT",,,0
43,"ARTIGA, GEORGE",SERGEANT OF POLICE,010,0
44,"ARTZ, CHARLES",,,0
45,"ASSAF, MAJED",SERGEANT OF POLICE,121,12
46,"ATKINS, BETH",,,0
47,"AUGUSTYN, GEORGE",,,0
48,"AVERY, VINCENT",SERGEANT OF POLICE,189,0
49,"AVILA, JOSEPH",,,0
50,"AXIUM, JACK",SERGEANT OF POLICE,012,0
51,"AYLWARD, MEGAN",,,0
52,"AYLWARD, PATRICK",,,1
53,"BACHELDER, THOMAS",,,2
54,"BACON, RANDALL",PO AS DETECTIVE,121,2
55,"BAGLIERI, CARMELO",SERGEANT OF POLICE,008,0
56,"BAHMANDEJI, HOOTAN",,,0
57,"BAIER, JAMES",SERGEANT OF POLICE,121,0
58,"BAILEY, THOMAS",,,0
59,"BAIO, ANTONIO",LIEUTENANT OF POLICE,011,0
60,"BAIOCCHI, GERALYN",,,0
61,"BAKER, JAMES",,,0
62,"BALLAUER, JAMES",,,0
63,"BANASZKIEWICZ, PHILIP",SERGEANT OF POLICE,016,0
64,"BANICH, THOMAS",,,0
65,"BANIEWICZ, ROBERT",,,0
66,"BANKS, YOLANDA",SERGEANT OF POLICE,003,0
67,"BANUELOS, ULYSSES",,,0
68,"BARA, JOSEPH",,,0
69,"BARANOWSKI, JOHN",,,0
70,"BARKER, PATRICK",,,0
71,"BARKER, THOMAS",SERGEANT OF POLICE,003,0
72,"BARNES JR, JOE",LIEUTENANT OF POLICE,003,0
73,"BARNES, DENNIS",,,0
74,"BARNES, MAURICE",,,1
75,"BARNETT, THOMAS",SERGEANT OF POLICE,011,0
76,"BARNEY, DEAN",SERGEANT OF POLICE,024,0
77,"BARRON, JACK",,,0
78,"BARRY, KEVIN",,,0
79,"BARTIK, ROBERT",,,0
80,"BARTZ, MICHAEL",SERGEANT OF POLICE,018,0
81,"BARZ, MICHAEL",SERGEANT OF POLICE,121,5
82,"BATES, TYRONE",,,0
83,"BATEY, TERRY",POLICE OFFICER,121,3
84,"BATTAGLIA, CHARLES",,,0
85,"BAUTISTA, JOSE",SERGEANT OF POLICE,009,0
86,"BAY, ROGER",,,0
87,"BAZAREK, MICHAEL",,,0
88,"BEAZLEY, THOMAS",LIEUTENANT OF POLICE,009,0
89,"BECK, ROBERT",,,0
90,"BECKER, STEVEN",,,0
91,"BEDNAREK, RICHARD",SERGEANT OF POLICE,006,2
92,"BEHLING, RONALD",,,0
93,"BELCZAK, ROBERT",,,0
94,"BELL, TEENA",POLICE OFFICER,121,0
95,"BELTRAN, EDUARDO",,,0
96,"BEN, SENORA",,,0
97,"BENIGNO, JOHN",SERGEANT OF POLICE,011,2
98,"BENNETT, DUANE",,,0
99,"BERGLIND, DAVID",,,0
100,"BERNATH, WILLIAM",SERGEANT OF POLICE,018,0
101,"BERTI, MICHAEL",,,1
102,"BETANCOURT, WILLIAM",,,2
103,"BETHISHOU, ATOUR",,,0
104,"BETTS, DWAYNE",,,0
105,"BETZ, DAVID",,,0
106,"BIALAS, MARYANN",,,2
107,"BIALEK, TIMOTHY",,,1
108,"BICKHAM, TIMOTHY",LIEUTENANT OF POLICE,009,0
109,"BICKNELL, GEORGE",,,0
110,"BIELECKI, LEE",,,0
111,"BIGDEN, STEVEN",,,0
112,"BIGG, KENNETH",LIEUTENANT OF POLICE,007,0
113,"BIGGANE, JOSEPH",,,0
114,"BIRD, JOSEPH",SERGEANT OF POLICE,353,0
115,"BLACKMAN, BRIAN",,,0
116,"BLANCO, DAVID",,,0
117,"BLANTON, DACHAE",,,1
118,"BLAS, NIDIA",POLICE OFFICER,121,0
119,"BLAS, RONALD",,,0
120,"BLASUCCI, MARK",SERGEANT OF POLICE,606,0
121,"BLAUL, CHRISTINE",SERGEANT OF POLICE,121,0
122,"BLAUL, JAMES",SERGEANT OF POLICE,016,0
123,"BLISSET, RODNEY",,,0
124,"BLOCK, ANDREW",,,0
125,"BLUM, LAURA",SERGEANT OF POLICE,022,0
126,"BLYSKAL, DAVID",,,0
127,"BOEHMER, ALLEN",,,2
128,"BOFFO, ROY",SERGEANT OF POLICE,006,0
129,"BONDI, ROBERT",,,0
130,"BONNER, VANCE",SERGEANT OF POLICE,006,0
131,"BOONE, RICKY",,,0
132,"BOWEN, MICHAEL",,,0
133,"BOWENS, DARREN",INVESTIGATOR 2 IPRA,113,1
134,"BOYD, DION",,,0
135,"BOYD, SHARON",,,0
136,"BOYLE, DENNIS",,,1
137,"BOYLE, PATRICK",,,0
138,"BRADLEY, WILLIAM",LIEUTENANT OF POLICE,006,0
139,"BRAITHWAITE, KELLY",,,0
140,"BRAND, THOMAS",,,0
141,"BRANNIGAN, PATRICK",SERGEANT OF POLICE,019,0
142,"BRANNIGAN, WILLIAM",,,0
143,"BRECKENRIDGE, CHARLES",POLICE AGENT,121,7
144,"BREIMON, GERALD",,,0
145,"BRENNAN, JOSEPH",LIEUTENANT OF POLICE,010,0
146,"BRESNAHAN, LAUREL",,,0
147,"BRIDGES, TIM",,,0
148,"BRKOVIC, PETAR",SERGEANT OF POLICE,003,0
149,"BRODERICK, JOHN",,,0
150,"BROWN JR, HERBERT",,,0
151,"BROWN, CHARLES",,,0
152,"BROWN, CYNTHIA",,,0
153,"BROWN, DANIEL",,,0
154,"BROWN, HERBERT",,,0
155,"BROWN, JASON",,,1
156,"BROWN, MATTHEW",,,1
157,"BROWN, RAIMONDO",,,0
158,"BROWN, RYAN",,,0
159,"BROWN, TONY",,,0
160,"BRUNO, KEVIN",,,0
161,"BUBALO, MILAN",,,0
162,"BUCHANAN, FREDERICK",,,0
163,"BUCKI, VIRGINIA",,,0
164,"BURGOS, LUIS",SERGEANT OF POLICE,014,0
165,"BURKE, MICHAEL",,,0
166,"BURKE, STEPHEN",,,1
167,"BURNS, CAROL",SERGEANT OF POLICE,001,0
168,"BURRELL, ROBERT",,,0
169,"BUTLER, DARWIN",,,0
170,"BUTLER, JAMES",SERGEANT OF POLICE,004,0
171,"BYRNE, BRIAN",,,1
172,"CAIN, ALLEN",,,0
173,"CALDWELL, DAVID",,,6
174,"CALLAGHAN, ANTHONY",,,0
175,"CALLAGHAN, BRIAN",,,0
176,"CALLAHAN, LISA",,,0
177,"CALVINO, JAMES",SERGEANT OF POLICE,019,0
178,"CALVO, ORLANDO",SERGEANT OF POLICE,010,0
179,"CAMACHO, FRANCES",,,0
180,"CAMPBELL, JACKIE",,,0
181,"CAMPBELL, MICHAEL",,,0
182,"CANNON, JOHN",,,0
183,"CANO, JESUS",SERGEANT OF POLICE,015,0
184,"CAPPITELLI, PHILIP",,,0
185,"CARABALLO, KRISTINE",,,0
186,"CARNEY, BRENDAN",,,0
187,"CAROTHERS, ANTHONY",,,0
188,"CARRILLO, ROBERT",SERGEANT OF POLICE,011,0
189,"CARTER, SHYKELA",INVESTIGATOR 3 IPRA,113,1
190,"CASCONE, JAMES",SERGEANT OF POLICE,007,1
191,"CASE, DAVID",LIEUTENANT OF POLICE,018,2
192,"CASEY, DANIEL",,,0
193,"CASEY, MICHAEL",,,0
194,"CASEY, PATRICIA",,,0
195,"CASEY, TIMOTHY",SERGEANT OF POLICE,022,0
196,"CATO III, ERNEST",,,0
197,"CATO, ERIC",SERGEANT OF POLICE,189,0
198,"CAVANAUGH, MICHAEL",,,0
199,"CEJA, ANTHONY",LIEUTENANT OF POLICE,006,0
200,"CEPEDA, JERRY",SERGEANT OF POLICE,001,0
201,"CERVENKA, ROBERT",,,0
202,"CESARIO, ROBERT",,,0
203,"CHAMBERS, KEVIN",,,0
204,"CHAPMAN, JEFFREY",,,0
205,"CHESTER, THOMAS",,,0
206,"CHIBE, JOHN",,,0
207,"CHIBE, LISA",SERGEANT OF POLICE,002,0
208,"CHICO, ALICE",INVESTIGATOR 2 IPRA,113,1
209,"CHRISTIAN, ALISON",SERGEANT OF POLICE,024,0
210,"CHUDZIK, WALTER",,,0
211,"CHUNG, STEPHEN",,,0
212,"CIAGLIA, NICK",,,0
213,"CIANNELLA, JAMES",SERGEANT OF POLICE,003,0
214,"CICCOLA, DOMINICK",,,0
215,"CIECIEL, STEVEN",SERGEANT OF POLICE,015,0
216,"CIRONE, SAM",,,0
217,"CIRONE, SAMUEL",,,0
218,"CLAESON JR, DEAN",SERGEANT OF POLICE,008,0
219,"CLANCY, TIMOTHY",SERGEANT OF POLICE,008,0
220,"CLARK, JASON",,,1
221,"CLARK, LLOWYN",,,0
222,"CLARK, NICOLE",,,0
223,"CLARK, SUSAN",,,0
224,"CLARK, TAMMY",INVESTIGATOR 2 IPRA,113,0
225,"CLARK, THOMAS",,,0
226,"CLEARY, THOMAS",SERGEANT OF POLICE,004,0
227,"CLEPP, KATHY",,,0
228,"CLIFFORD, JOHN",SERGEANT OF POLICE,002,0
229,"CLINE, MATTHEW",,,0
230,"CLUCAS JR, WILLIAM",,,1
231,"COCHRAN, TERRANCE",SERGEANT OF POLICE,121,13
232,"COLEMAN, JEFFREY",,,0
233,"COLEMAN, LAURENCE",,,0
234,"COLLAZO, ELIZABETH",SERGEANT OF POLICE,213,0
235,"COLLINS JR, PHILLIP",SERGEANT OF POLICE,024,0
236,"COLLINS, TERRENCE",SERGEANT OF POLICE,006,0
237,"COLLINS, THOMAS",SERGEANT OF POLICE,018,0
238,"COMISKEY, JANET",SERGEANT OF POLICE,008,0
239,"CONLEY, MARY",,,0
240,"CONNELLY, CAROLINE",,,0
241,"CONNELLY, DENNIS",,,0
242,"CONNORS, KEVIN",,,0
243,"CONROY, PATRICK",LIEUTENANT OF POLICE,025,1
244,"CONWAY, PATRICK",SERGEANT OF POLICE,019,0
245,"COONEY, MICHAEL",SERGEANT OF POLICE,002,0
246,"COOPER, LORI",,,0
247,"CORCORAN, DONALD",,,0
248,"CORLETT, MICHAEL",SERGEANT OF POLICE,009,0
