Moore,,,FOIA,
CatID,Category,,CatID,Category
01A,USE OF PROFANITY,,01A,Use Of Profanity
01B,"RACIAL/ETHNIC, ETC.",,01B,"Racial / Ethnic, Etc."
01C,MISCELLANEOUS,,01C,Sexual Orientation
02A,INTOXICATED ON DUTY,,02A,Intoxicated On Duty
02B,INTOXICATED OFF DUTY,,02B,Intoxicated Off Duty
02D,D.U.I. - OFF DUTY,,02D,D.U.I. - Off Duty
02E,POSSESSION/DRINKING ALCOHOL - ON DUTY,,02E,Possession / Drinking Alcohol - On Duty
02G,MISCELLANEOUS,,02G,Miscellaneous
03A,FIRST AMENDMENT,,03A,First Amendment
03B,SEARCH OF PERSON WITHOUT WARRANT,,03B,Improper Search Of Person
03C,SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,,03C,Search Of Premise Without Warrant
03D,ILLEGAL ARREST,,03D,Illegal Arrest / False Arrest
03E,INJURY/DEATH (UNDER COLOR OF LAW),,03E,Injury / Death (Under Color Of Law)
03F,FAILURE TO INSURE,,03F,Failure To Ensure Civil Rights
03G,MISCELLANEOUS,,03G,Improper Search Of Vehicle
04A,BONDING/BOOKING/PROCESSING,,04A,Bonding/Booking/Processing
04B,ARREST/IMPROPER,,04B,"Arrest, Improper Procedures"
04C,EXCESSIVE DETENTION,,04C,Excessive Detention - After Arrest
04D,"SEARCH, PERSON/PROPERTY",,04D,Search - Person / Property
04E,PRISONER'S PROPERTY - INVENTORY/RECEIPT,,04E,Prisoners Property
04F,ESCAPE,,04F,Escape
04G,TELEPHONE - ATTORNEY/RELATIVE PRIVILEGES,,04G,Telephone / Attorney / Relative Privileges
04H,"PROPER CARE, INJURY/DEATH",,04H,Proper Care - Injury / Death
04J,MISCELLANEOUS,,04J,Miscellaneous
05A,ARRESTEE - DURING ARREST,,05A,Excessive Force / On Duty - Injury
05B,"ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",,05B,Excessive Force / On Duty - No Injury
05C,ARRESTEE - LOCKUP/DETENTION,,05C,Excessive Force / Off Duty - Injury
05D,NO ARREST,,05D,Excessive Force / Off Duty - No Injury
05E,TRAFFIC,,05E,Excessive Force - Use Of Firearm / On Duty - Injury
05F,DOMESTIC,,05F,Excessive Force - Use Of Firearm / On Duty - No Injury
05G,"WEAPON, USE/DISPLAY OF",,05G,Excessive Force - Use Of Firearm / Off Duty - Injury
05H,MISCELLANEOUS,,05H,Excessive Force - Use Of Firearm / Off Duty - No Injury
05J,"""U"" CONVERTED TO C.R. (RECORDS KEEPING ONLY, INITIAL)",,05J,"U Converted To C.R. (Records Keeping Only, Initial)"
05K,DOMESTIC ALTERCATION/INCIDENT - OFF DUTY,,05K,Domestic Altercation - Physical Abuse
05L,UNNECESSARY PHYSICAL CONTACT - ON DUTY,,05L,Domestic Incident - Not Physical
05M,UNNECESSARY PHYSICAL CONTACT - OFF DUTY,,05M,Unnecessary Physical Contact / On Duty - No Injury
05N,WEAPON - UNNECESSARY DISPLAY OF,,05N,Unnecessary Physical Contact / Off Duty - No Injury
05P,"EXCESSIVE FORCE - OFF DUTY (INCLUDES NEIGHBOR, TRAFFI",,05P,Unnecessary Display Of Weapon / On Duty
05Q,CIVIL SUIT - THIRD PARTY,,05Q,Unnecessary Display Of Weapon / Off Duty
05T,EXCESSIVE FORCE - TASER - USE OF,,05T,Excessive Force - Taser - Use Of
06A,SOLICIT/ACCEPT BRIBE (NON - TRAFFIC),,06A,Solicit / Accept Bribe (Non-Traffic)
06B,SOLICIT/ACCEPT BRIBE (TRAFFIC),,06B,Solicit / Accept Bribe (Traffic)
06C,EXTORTION,,06C,Extortion
06E,GRATUITY,,06E,Gratuity
06F,RECOMMEND PROFESSIONAL SERVICE,,06F,Recommend Professional Service
06G,USE OFFICIAL POSITION,,06G,Use Of Official Position
06H,AN ACT TO CIRCUMVENT CRIMINAL PROSECUTION,,06H,An Act To Circumvent Criminal Prosecution
06J,MISCELLANEOUS,,06J,Gang Affiliation
07A,MISCONDUCT DURING ISSUANCE OF CITATION,,07A,Misconduct During Issuance Of Citation
07B,IMPROPER PROCESSING/REPORTING/PROCEDURES,,07B,Improper Processing / Reporting / Procedures
07C,VIOLATION (OTHER THAN D.U.I.) - ON DUTY,,07C,Violation (Other Than D.U.I.) - On Duty
07D,PARKING COMPLAINTS,,07D,Parking Complaints
07E,FAIL TO ENFORCE TRAFFIC REGULATIONS,,07E,Fail To Enforce Traffic Regulations
07F,MISCELLANEOUS,,07F,Miscellaneous
07T,PREVENTABLE TRAFFIC ACCIDENT,,07T,Preventable Traffic Accident
08B,"ASSAULT/BATTERY, ETC.",,08B,"Assault / Battery, Etc."
08C,RAPE/SEX OFFENSES,,08C,Criminal Sexual Assault
08F,THEFT,,08F,Theft
08G,SHOPLIFTING,,08G,Shoplifting
08H,ROBBERY,,08H,Robbery
08J,"DRUGS/CONTR. SUB., POSSESSION OR SALE",,08J,"Drugs / Controlled Substance, Possession Or Sale"
