Term,Definition,Category
Affidavit,"State law requires that any person making an allegation of misconduct against a Chicago Police Officer sign a sworn affidavit that certifies that the allegation is true and correct. If the person making the complaint did not actually witness the alleged conduct, they must certify that they believe that the facts in the allegation are true.",complaint_process
Allegation,A claim or assertion that an officer has done something illegal or wrong. See: Complaint.,complaint_process
Bureau of Internal Affairs (BIA),See: Internal Affairs Dvision (IAD),organizational
Chicago Police Board,"The Chicago Police Board is an independent civilian body that oversees certain activities of the Chicago Police Department. The nine members of the Board are private citizens appointed by the Mayor with the advice and consent of the City Council. Terms are five years, limited to two terms. The Police Board's primary powers and responsibilities include: 1) Deciding disciplinary cases involving allegations of police misconduct where the recommended punishment is more than 30 days suspension, or for termination. Upon request, the Board can also review requests for 6 - 30 days suspension. Disciplinary hearings are open to the public 2) Holding monthly public meetings that provide an opportunity for all members of the public to present questions and comments to the Board, the Superintendent of Police, and the Chief Administrator of the Independent Police Review Authority 3) Nominating candidates for the position of Superintendent of Police to the Mayor 4) Adopting the Rules and Regulations for the governance of the Police Department",organizational
Chicago Police Department (CPD),"The Chicago Police Department (CPD) is the second-largest non-federal law enforcement agency in the U.S. It has about 12,500 sworn officers and over 2,000 other employees.",organizational
Complaint,"Complaints against employees are made by citizens and employees. If a member of the public is dissatisfied with the police service he or she has received or has a complaint against a Chicago Police Department member (civilian and sworn), he or she can report the incident directly to IPRA. Also see: Allegation.",complaint_process
Complaint Register (CR),"A CR File is the investigative file that an IPRA or BIA investigator creates over the course of an investigation. It includes evidence, photos, statements from the reporting party and witnesses and officers. The investigator initially contacts the reporting party to obtain a sworn affidavit. (See No Affidavit for exceptions.)",complaint_process
Complaint Register (CR) Number,The conversion of a Log Number to a full disciplinary investigation.,complaint_process
Discipline,"Officers can be reprimanded, suspended for a set number of days, or separated.",outcomes
EO (CR designation),"The type given to an extraordinary incident (e.g., death in custody, suicide in custody, attempt suicide in custody).",complaint_process
Exonerated,"The incident occurred, but the action taken by the officer(s) was deemed lawful and proper.",outcomes
Fraternal Order of the Police (FOP),"Chicago Lodge 7 is the local affiliate of the FOP national. It is a non-profit that provides union representation for sworn officers of the Chicago Police Department. The current contract, good until 2017, covers both employment protections, and the Chicago officer bill of rights against disciplinary procedures. The FOP’s current President is Dean Angelo, Sr.",organizational
Independent Police Review Authority (IPRA),"Created in 2007 as an independent replacement for the internal CPD Office of Professional Standards, IPRA is the city agency that investigates allegations of police misconduct. IPRA handles excessive or deadly force, domestic violence, verbal abuse based on bias, and coercion by a Department Member. Other cases are taken in by IPRA, then forwarded for investigation by BIA.",organizational
INFO (CR designation),The type given to an incident that has not been converted into a Complaint Register Number due to an un-signed Sworn Affidavit by a reporting party.,complaint_process
